D_prof,E_act,D_surf,Drain
-0.8,0.8,-0.8,0.0
-1.4,0.6,-1.4,0.0
-2.2,0.8,-2.2,0.0
-2.9000000000000004,0.7,-2.9000000000000004,0.0
-3.7,0.8,-3.7,0.0
-4.5,0.8,-4.5,0.0
-5.4,0.9,-5.4,0.0
-6.2,0.8,-6.2,0.0
-0.30000000000000004,0.8,-0.30000000000000004,0.0
0.0,0.6,0.0,2.1999999999999997
-1.1,1.1,-1.1,0.0
0.0,1.1,0.0,3.2000000000000006
0.0,1.2,0.0,4.2
0.0,0.9,0.0,0.4
0.0,1.5,0.0,2.2
0.0,1.6,0.0,2.8000000000000003
0.0,1.0,0.0,6.9
0.0,2.0,0.0,0.5
-1.2,1.2,-1.2,0.0
-2.4,1.2,-2.4,0.0
-3.7,1.3,-3.7,0.0
-4.4,0.7,-4.4,0.0
-5.5,1.1,-5.5,0.0
-7.0,1.5,-7.0,0.0
-6.4,1.6,-6.4,0.0
-7.9,1.5,-7.9,0.0
0.0,1.8,0.0,11.699999999999998
-1.0,1.0,-1.0,0.0
-2.4,1.4,-2.4,0.0
-1.0999999999999999,1.2,-1.0999999999999999,0.0
0.0,1.1,0.0,3.2000000000000006
-1.8,1.8,-1.8,0.0
-3.1,1.3,-3.1,0.0
0.0,1.0,0.0,1.9999999999999996
0.0,0.7,0.0,5.8
-1.2,1.2,-1.2,0.0
-2.9,1.7,-2.9,0.0
-4.5,1.6,-4.5,0.0
-7.1,2.6,-7.1,0.0
-7.2,2.7,-7.2,0.0
-3.2,2.2,-3.2,0.0
-5.6,2.4,-5.6,0.0
-7.0,1.4,-7.0,0.0
-9.0,2.0,-9.0,0.0
-11.5,2.5,-11.5,0.0
-6.5,2.9,-6.5,0.0
-8.7,2.2,-8.7,0.0
-9.799999999999999,2.3,-9.799999999999999,0.0
-11.1,1.3,-11.1,0.0
-12.1,1.0,-12.1,0.0
-5.199999999999999,2.0,-5.199999999999999,0.0
0.0,2.0,0.0,4.4
-1.8,1.8,-1.8,0.0
-4.2,2.4,-4.2,0.0
-5.7,1.5,-5.7,0.0
-8.5,2.8,-8.5,0.0
-9.7,1.2,-9.7,0.0
-11.7,2.0,-11.7,0.0
-14.6,2.9,-14.6,0.0
-9.299999999999999,1.7,-9.299999999999999,0.0
-11.2,1.9,-11.2,0.0
-13.799999999999999,2.6,-13.799999999999999,0.0
-16.0,2.2,-16.0,0.0
-16.3,2.8,-16.3,0.0
-18.3,2.0,-18.3,0.0
-20.900000000000002,2.6,-20.0,0.0
-23.3,2.4,-20.0,0.0
-25.5,2.2,-20.0,0.0
-29.3,3.8,-20.0,0.0
-32.6,3.3,-20.0,0.0
-17.0,3.0,-4.399999999999999,0.0
-16.2,1.4,-3.5999999999999983,0.0
-18.599999999999998,2.4,-5.999999999999998,0.0
-11.999999999999998,1.8,0.0,0.0
-3.399999999999998,2.9,0.0,0.0
-5.6999999999999975,2.3,-2.3,0.0
-5.899999999999997,2.4,-2.4999999999999996,0.0
-5.9999999999999964,2.1,-2.5999999999999996,0.0
-7.799999999999996,1.8,-4.3999999999999995,0.0
-1.1999999999999957,2.2,0.0,0.0
-4.299999999999995,3.1,-3.1,0.0
-8.899999999999995,4.6,-7.699999999999999,0.0
-11.199999999999996,2.3,-10.0,0.0
-14.999999999999996,3.8,-13.8,0.0
-16.199999999999996,3.1,-15.0,0.0
-17.499999999999996,1.3,-16.3,0.0
-19.999999999999996,2.5,-18.8,0.0
-20.9,4.9,-19.700000000000003,0.0
-24.799999999999997,3.9,-20.0,0.0
-28.4,3.6,-20.0,0.0
-32.8,4.4,-20.0,0.0
-34.699999999999996,1.9,-20.0,0.0
-37.3,2.6,-20.0,0.0
-39.3,2.0,-20.0,0.0
-42.5,3.2,-20.0,0.0
-44.3,1.8,-20.0,0.0
-44.6,2.7,-20.0,0.0
-47.9,3.3,-20.0,0.0
-50.9495,3.0495,-20.0,0.0
-53.5495,2.6,-20.0,0.0
-53.5495,2.6,-20.0,0.0
-49.649499999999996,2.8,-16.1,0.0
-52.3495,2.7,-18.8,0.0
-54.9762975,2.6267975000000003,-20.0,0.0
-57.353549237500005,2.3772517375,-20.0,0.0
-59.504962059937505,2.1514128224375,-20.0,0.0
-61.45199066424344,1.9470286043059373,-20.0,0.0
-61.45199066424344,3.6999999999999993,-20.0,0.0
-63.214051551140315,1.7620608868968732,-20.0,0.0
-64.80871665378199,1.5946651026416703,-20.0,0.0
-66.2518885716727,1.4431719178907114,-20.0,0.0
-67.55795915736378,1.306070585691094,-20.0,0.0
-68.73995303741422,1.1819938800504408,-20.0,0.0
-69.80965749885988,1.0697044614456486,-20.0,0.0
-70.77774003646819,0.9680825376083115,-20.0,0.0
-71.65385473300371,0.876114696535522,-20.0,0.0
-72.44673853336836,0.7928838003646472,-20.0,0.0
-73.16429837269837,0.7175598393300051,-20.0,0.0
-73.81369002729203,0.6493916545936553,-20.0,0.0
-74.40138947469929,0.5876994474072568,-20.0,0.0
-74.93325747460285,0.531867999903568,-20.0,0.0
-75.41459801451558,0.48134053991272907,-20.0,0.0
-75.41459801451558,2.3999999999999986,-20.0,0.0
-75.8502112031366,0.43561318862102016,-20.0,0.0
-76.24444113883862,0.3942299357020236,-20.0,0.0
-76.60121923064895,0.35677809181033027,-20.0,0.0
-76.9241034037373,0.32288417308835005,-20.0,0.0
-77.21631358038226,0.2922101766449554,-20.0,0.0
-77.48076379024594,0.2644502098636856,-20.0,0.0
-77.72009123017259,0.23932743992663585,-20.0,0.0
-77.93668256330619,0.21659133313360446,-20.0,0.0
-78.1326977197921,0.1960151564859114,-20.0,0.0
-78.31009143641185,0.17739371661975056,-20.0,0.0
-78.47063274995273,0.16054131354087442,-20.0,0.0
-77.77063274995272,3.7,-19.3,0.0
-72.37063274995272,2.8,-13.900000000000002,0.0
-77.07063274995272,4.7,-18.6,0.0
-78.47063274995273,1.3999999999999986,-20.0,0.0
-78.47063274995273,1.8000000000000007,-20.0,0.0
-78.61592263870722,0.14528988875449045,-20.0,0.0
-78.61592263870722,1.8999999999999986,-20.0,0.0
-78.61592263870722,1.1999999999999993,-20.0,0.0
-78.74740998803003,0.13148734932281414,-20.0,0.0
-78.86640603916717,0.11899605113714706,-20.0,0.0
-78.97409746544629,0.10769142627911865,-20.0,0.0
-79.0715582062289,0.09746074078260225,-20.0,0.0
-79.15976017663715,0.08820197040825484,-20.0,0.0
-74.45976017663716,4.4,-15.3,0.0
-79.15976017663716,4.699999999999999,-20.0,0.0
-79.23958295985663,0.07982278321946978,-20.0,0.0
-79.31182257867026,0.07223961881361962,-20.0,0.0
-79.37719943369659,0.06537685502632495,-20.0,0.0
-79.43636548749541,0.05916605379882345,-20.0,0.0
-79.48991076618334,0.05354527868793646,-20.0,0.0
-79.53836924339592,0.04845847721258245,-20.0,0.0
-79.5822241652733,0.043854921877387376,-20.0,0.0
-79.62191286957234,0.039688704299036814,-20.0,0.0
-79.65783114696296,0.03591827739062747,-20.0,0.0
-79.69033718800148,0.03250604103851895,-20.0,0.0
-79.71975515514134,0.029417967139859336,-20.0,0.0
-79.74637841540292,0.026623260261573023,-20.0,0.0
-76.64637841540292,1.9,-16.9,0.0
-79.74637841540292,3.1000000000000014,-20.0,0.0
-79.74637841540292,4.699999999999999,-20.0,0.0
-61.44637841540291,3.8,-1.6999999999999984,0.0
-67.4463784154029,6.0,-7.699999999999998,0.0
-72.4463784154029,5.0,-12.7,0.0
-77.34637841540291,4.9,-17.6,0.0
-79.74637841540292,2.3999999999999986,-20.0,0.0
-76.84637841540291,3.3,-17.1,0.0
-79.74637841540292,2.8999999999999986,-20.0,0.0
-79.77047246593963,0.02409405053672309,-20.0,0.0
-79.79227758167536,0.021805115735734404,-20.0,0.0
-79.8120112114162,0.019733629740840364,-20.0,0.0
-79.82987014633167,0.01785893491546009,-20.0,0.0
-79.84603248243016,0.016162336098490826,-20.0,0.0
-78.74603248243017,3.2,-18.9,0.0
-79.84603248243016,1.1000000000000014,-20.0,0.0
-79.86065939659929,0.014626914169134864,-20.0,0.0
-79.87389675392235,0.013237357323068188,-20.0,0.0
-79.88587656229973,0.011979808377376777,-20.0,0.0
-79.89671828888126,0.010841726581525712,-20.0,0.0
-79.90653005143754,0.009811762556280357,-20.0,0.0
-79.91540969655098,0.008879645113434087,-20.0,0.0
-79.92344577537864,0.008036078827657,-20.0,0.0
-79.93071842671768,0.0072726513390293235,-20.0,0.0
-79.93730017617949,0.006581749461821218,-20.0,0.0
-79.93730017617949,2.0,-20.0,0.0
-79.94325665944244,0.005956483262948176,-20.0,0.0
-79.94864727679541,0.005390617352968086,-20.0,0.0
-79.95352578549985,0.0048785087044356246,-20.0,0.0
-79.95352578549983,2.8999999999999986,-20.0,0.0
-79.95794083587735,0.004415050377515328,-20.0,0.0
-79.961936456469,0.003995620591651594,-20.0,0.0
-79.961936456469,1.8000000000000007,-20.0,0.0
-79.96555249310445,0.0036160366354449636,-20.0,0.0
-79.96882500625954,0.0032725131550774833,-20.0,0.0
-79.97178663066488,0.0029616244053443097,-20.0,0.0
-79.97446690075172,0.002680270086836245,-20.0,0.0
-79.9768925451803,0.0024256444285866152,-20.0,0.0
-79.97908775338817,0.002195208207870891,-20.0,0.0
-79.9810744168163,0.0019866634281235918,-20.0,0.0
-79.98287234721874,0.0017979304024517972,-20.0,0.0
-79.98449947423296,0.0016271270142196315,-20.0,0.0
-79.98597202418082,0.0014725499478682735,-20.0,0.0
-79.98730468188364,0.001332657702821649,-20.0,0.0
-79.98851073710469,0.001206055221053326,-20.0,0.0
-79.98960221707975,0.0010914799750540993,-20.0,0.0
-79.99059000645717,0.0009877893774241642,-20.0,0.0
-79.99148395584373,0.0008939493865689485,-20.0,0.0
-79.99229298003858,0.0008090241948455201,-20.0,0.0
-79.99302514693491,0.0007321668963342631,-20.0,0.0
-79.99368775797609,0.0006626110411831476,-20.0,0.0
-79.99428742096836,0.0005996629922719876,-20.0,0.0
-79.99483011597637,0.0005426950080051895,-20.0,0.0
-79.99532125495861,0.000491138982244621,-20.0,0.0
-79.89532125495862,1.7,-19.9,0.0
-79.69532125495861,2.3,-19.7,0.0
-79.99532125495861,2.1999999999999993,-20.0,0.0
-79.99576573573755,0.00044448077893211035,-20.0,0.0
-79.99616799084248,0.00040225510493296923,-20.0,0.0
-75.99616799084248,2.4,-16.0,0.0
-74.89616799084249,3.2,-14.899999999999999,0.0
-77.79616799084249,2.9,-17.799999999999997,0.0
0.0,1.8,0.0,11.503832009157502
-1.6,1.6,-1.6,0.0
-4.7,3.1,-4.7,0.0
-8.3,3.6,-8.3,0.0
-5.4,1.1,-5.4,0.0
-8.5,3.1,-8.5,0.0
-13.0,4.5,-13.0,0.0
-17.0,4.0,-17.0,0.0
-19.5,2.5,-19.5,0.0
-21.0,1.5,-20.0,0.0
-24.3,3.3,-20.0,0.0
-20.8,3.2,-16.5,0.0
-23.400000000000002,2.6,-19.1,0.0
-25.000000000000004,1.6,-20.0,0.0
-26.500000000000004,1.5,-20.0,0.0
-29.700000000000003,3.2,-20.0,0.0
-33.0,3.3,-20.0,0.0
-35.6,2.6,-20.0,0.0
-37.7,2.1,-20.0,0.0
-40.0,2.3,-20.0,0.0
-41.6,1.6,-20.0,0.0
-44.5,2.9,-20.0,0.0
-46.4,1.9,-20.0,0.0
-49.592,3.192,-20.0,0.0
-52.092,2.5,-20.0,0.0
-54.592,2.5,-20.0,0.0
-55.992,1.4,-20.0,0.0
-57.891999999999996,1.9,-20.0,0.0
-59.391999999999996,1.5,-20.0,0.0
-42.891999999999996,1.0,-3.5,0.0
-44.391999999999996,1.5,-5.0,0.0
-46.69199999999999,2.3,-7.3,0.0
-45.791999999999994,0.5,-6.4,0.0
-48.09199999999999,2.3,-8.7,0.0
-49.89199999999999,1.8,-10.5,0.0
-52.49199999999999,2.6,-13.1,0.0
-54.79199999999999,2.3,-15.399999999999999,0.0
-55.89199999999999,1.1,-16.5,0.0
-57.79199999999999,1.9,-18.4,0.0
-54.79199999999999,1.3,-15.399999999999999,0.0
-50.79199999999999,1.5,-11.399999999999999,0.0
-48.19199999999999,2.2,-8.799999999999999,0.0
-40.59199999999999,1.4,-1.1999999999999988,0.0
-42.49199999999999,1.9,-3.0999999999999988,0.0
-44.39199999999999,1.9,-4.999999999999998,0.0
-45.79199999999999,1.4,-6.399999999999999,0.0
-43.99199999999999,0.7,-4.599999999999999,0.0
-43.291999999999994,1.2,-3.8999999999999986,0.0
-42.592,0.7,-3.1999999999999984,0.0
-43.391999999999996,0.8,-3.9999999999999982,0.0
-32.992,1.0,0.0,0.0
-32.592,1.3,0.0,0.0
-28.592,0.7,0.0,0.0
-14.891999999999998,1.7,0.0,0.0
-16.291999999999998,1.4,-1.4,0.0
-15.191999999999998,0.1,-0.29999999999999993,0.0
-12.591999999999997,0.6,0.0,0.0
-4.091999999999997,0.5,0.0,0.0
-2.091999999999997,0.9,0.0,0.0
-3.691999999999997,1.6,-1.6,0.0
0.0,1.0,0.0,10.708000000000004
0.0,0.5,0.0,12.2
0.0,0.7,0.0,0.7
0.0,1.2,0.0,1.4000000000000001
-1.0,1.0,-1.0,0.0
0.0,0.9,0.0,1.1
0.0,1.0,0.0,2.7
0.0,0.4,0.0,2.4
-0.5,0.5,-0.5,0.0
0.0,1.6,0.0,5.300000000000001
0.0,0.7,0.0,1.5000000000000002
-0.8,0.8,-0.8,0.0
-1.0,0.2,-1.0,0.0
-1.1,0.1,-1.1,0.0
-1.9000000000000001,0.8,-1.9000000000000001,0.0
-2.4000000000000004,0.5,-2.4000000000000004,0.0
0.0,0.5,0.0,2.3999999999999995
0.0,1.0,0.0,0.8999999999999999
0.0,1.8,0.0,8.0
-0.7,0.7,-0.7,0.0
-1.9,1.2,-1.9,0.0
-2.5999999999999996,0.7,-2.5999999999999996,0.0
-3.3,0.7,-3.3,0.0
-3.9,0.6,-3.9,0.0
0.0,0.3,0.0,3.8
0.0,0.0,0.0,16.2
0.0,0.5,0.0,5.9
-0.4,0.4,-0.4,0.0
0.0,0.6,0.0,9.4
0.0,0.2,0.0,5.8
0.0,0.6,0.0,3.1999999999999997
0.0,0.3,0.0,3.7
-0.5,0.5,-0.5,0.0
-1.3,0.8,-1.3,0.0
0.0,0.6,0.0,0.7000000000000001
-0.7,0.7,-0.7,0.0
-1.5,0.8,-1.5,0.0
-2.1,0.6,-2.1,0.0
-2.5,0.4,-2.5,0.0
-2.9,0.4,-2.9,0.0
-3.3,0.4,-3.3,0.0
-3.6999999999999997,0.4,-3.6999999999999997,0.0
-4.1,0.4,-4.1,0.0
-4.5,0.4,-4.5,0.0
-4.9,0.4,-4.9,0.0
-3.4000000000000004,0.4,-3.4000000000000004,0.0
0.0,0.3,0.0,6.3999999999999995
0.0,0.4,0.0,4.8
-0.7,0.7,-0.7,0.0
-1.1,0.4,-1.1,0.0
-1.5,0.4,-1.5,0.0
-1.9,0.4,-1.9,0.0
-2.3,0.4,-2.3,0.0
-2.6999999999999997,0.4,-2.6999999999999997,0.0
-3.0999999999999996,0.4,-3.0999999999999996,0.0
-3.3999999999999995,0.3,-3.3999999999999995,0.0
0.0,0.5,0.0,11.2
-0.7,0.7,-0.7,0.0
-1.2,0.5,-1.2,0.0
-1.7999999999999998,0.6,-1.7999999999999998,0.0
-2.4,0.6,-2.4,0.0
-3.0999999999999996,0.7,-3.0999999999999996,0.0
-3.9999999999999996,0.9,-3.9999999999999996,0.0
-4.8,0.8,-4.8,0.0
-4.8999999999999995,0.1,-4.8999999999999995,0.0
-5.1,0.2,-5.1,0.0
-6.699999999999999,1.6,-6.699999999999999,0.0
-8.2,1.5,-8.2,0.0
-9.399999999999999,1.2,-9.399999999999999,0.0
-10.299999999999999,0.9,-10.299999999999999,0.0
-10.999999999999998,0.7,-10.999999999999998,0.0
-11.699999999999998,0.7,-11.699999999999998,0.0
-0.5999999999999968,0.7,-0.5999999999999968,0.0
-1.0999999999999968,0.5,-1.0999999999999968,0.0
-0.09999999999999687,0.4,-0.09999999999999687,0.0
0.0,0.6,0.0,3.300000000000003
-0.4,0.4,-0.4,0.0
-0.9,0.5,-0.9,0.0
-1.5,0.6,-1.5,0.0
-2.1,0.6,-2.1,0.0
-2.7,0.6,-2.7,0.0
-0.7,0.7,-0.7,0.0
-1.9,1.2,-1.9,0.0
-3.0999999999999996,1.2,-3.0999999999999996,0.0
0.0,0.6,0.0,5.551115123125783e-16
-0.9,0.9,-0.9,0.0
0.0,0.7,0.0,4.999999999999999
-1.0,1.0,-1.0,0.0
-2.2,1.2,-2.2,0.0
-0.7000000000000002,1.0,-0.7000000000000002,0.0
-1.5000000000000002,0.8,-1.5000000000000002,0.0
-2.8000000000000003,1.3,-2.8000000000000003,0.0
-1.5000000000000002,0.7,-1.5000000000000002,0.0
-0.7000000000000002,0.5,-0.7000000000000002,0.0
0.0,0.8,0.0,5.8
-1.4,1.4,-1.4,0.0
-3.2,1.8,-3.2,0.0
-4.6,1.4,-4.6,0.0
-5.8999999999999995,1.3,-5.8999999999999995,0.0
-6.8,0.9,-6.8,0.0
-2.5999999999999996,2.0,-2.5999999999999996,0.0
0.0,1.3,0.0,3.7
0.0,2.0,0.0,1.2000000000000002
-1.3,1.3,-1.3,0.0
-2.4000000000000004,1.1,-2.4000000000000004,0.0
-3.5000000000000004,1.1,-3.5000000000000004,0.0
-4.800000000000001,1.3,-4.800000000000001,0.0
-6.4,1.6,-6.4,0.0
-7.6000000000000005,1.2,-7.6000000000000005,0.0
-9.100000000000001,1.5,-9.100000000000001,0.0
-10.700000000000001,1.6,-10.700000000000001,0.0
-11.9,1.2,-11.9,0.0
-10.8,1.2,-10.8,0.0
-12.3,1.5,-12.3,0.0
-13.3,1.0,-13.3,0.0
-7.400000000000001,0.9,-7.400000000000001,0.0
-6.700000000000001,1.3,-6.700000000000001,0.0
-8.4,1.7,-8.4,0.0
-8.7,1.5,-8.7,0.0
0.0,0.8,0.0,0.900000000000001
-2.0,2.0,-2.0,0.0
-4.2,2.2,-4.2,0.0
-5.9,1.7,-5.9,0.0
-5.1000000000000005,1.5,-5.1000000000000005,0.0
-7.1000000000000005,2.0,-7.1000000000000005,0.0
-8.0,0.9,-8.0,0.0
-0.2999999999999998,2.7,-0.2999999999999998,0.0
0.0,0.7,0.0,26.7
0.0,1.3,0.0,23.099999999999998
0.0,1.5,0.0,9.9
0.0,2.3,0.0,5.3
0.0,1.8,0.0,7.3999999999999995
0.0,1.8,0.0,0.7
0.0,1.6,0.0,5.4
0.0,1.4,0.0,2.8000000000000003
-1.9,1.9,-1.9,0.0
-4.199999999999999,2.3,-4.199999999999999,0.0
-7.199999999999999,3.0,-7.199999999999999,0.0
-10.5,3.3,-10.5,0.0
-13.1,2.6,-13.1,0.0
-16.2,3.1,-16.2,0.0
-19.4,3.2,-19.4,0.0
-22.799999999999997,3.4,-20.0,0.0
-25.199999999999996,2.4,-20.0,0.0
-28.299999999999997,3.1,-20.0,0.0
-29.099999999999998,3.2,-20.0,0.0
-31.299999999999997,2.2,-20.0,0.0
-33.699999999999996,2.4,-20.0,0.0
-35.99999999999999,2.3,-20.0,0.0
-38.099999999999994,2.1,-20.0,0.0
-41.3,3.2,-20.0,0.0
-44.976499999999994,3.6765,-20.0,0.0
-46.87649999999999,1.9,-20.0,0.0
-50.02323249999999,3.1467325000000006,-20.0,0.0
-52.87102541249999,2.847792912500001,-20.0,0.0
-52.171025412499986,1.9,-19.299999999999997,0.0
-54.071025412499985,1.9,-20.0,0.0
-55.97102541249998,1.9,-20.0,0.0
-58.253777998312486,2.282752585812502,-20.0,0.0
-60.3196690884728,2.0658910901603136,-20.0,0.0
-60.92230052506788,2.0026314365950837,-20.0,0.0
-62.73468197518643,1.8123814501185516,-20.0,0.0
-64.37488718754372,1.640205212357289,-20.0,0.0
-65.85927290472706,1.484385717183347,-20.0,0.0
-56.05927290472706,2.4,-10.200000000000001,0.0
-43.65927290472706,2.5,0.0,0.0
-43.05927290472706,2.0,0.0,0.0
-47.85927290472706,4.8,-4.8,0.0
-52.159272904727054,4.3,-9.1,0.0
-56.95927290472705,4.8,-13.899999999999999,0.0
-61.45927290472705,4.5,-18.4,0.0
-63.220641978777984,1.76136907405093,-20.0,0.0
-64.81468099079407,1.5940390120160908,-20.0,0.0
-66.25728629666864,1.4426053058745634,-20.0,0.0
-67.56284409848512,1.3055578018164793,-20.0,0.0
-68.74437390912902,1.181529810643914,-20.0,0.0
-67.64437390912902,4.1,-18.9,0.0
-68.81815838776176,1.1737844786327436,-20.0,0.0
-68.81815838776176,1.3000000000000007,-20.0,0.0
-69.88043334092438,1.0622749531626337,-20.0,0.0
-70.84179217353656,0.9613588326121834,-20.0,0.0
-69.84179217353656,2.4,-19.0,0.0
-70.84179217353656,1.0,-20.0,0.0
-71.71182191705059,0.870029743514027,-20.0,0.0
-71.71182191705057,1.8999999999999986,-20.0,0.0
-70.61182191705056,3.6,-18.900000000000002,0.0
-71.71182191705056,2.4999999999999964,-20.0,0.0
-63.91182191705056,2.0,-12.2,0.0
-51.51182191705056,3.0,0.0,0.0
-45.311821917050565,2.0,0.0,0.0
-46.311821917050565,4.7,-1.0,0.0
-50.01182191705057,3.7,-4.7,0.0
-55.11182191705057,5.1,-9.8,0.0
-59.91182191705057,4.8,-14.600000000000001,0.0
-59.91182191705057,3.7,-14.600000000000001,0.0
-65.31182191705057,5.399999999999999,-20.0,0.0
-66.70719883493076,1.3953769178801965,-20.0,0.0
-67.97001494561235,1.2628161106815776,-20.0,0.0
-69.11286352577918,1.1428485801668273,-20.0,0.0
-70.14714149083015,1.0342779650509781,-20.0,0.0
-71.08316304920129,0.9360215583711362,-20.0,0.0
-71.93026255952716,0.8470995103258776,-20.0,0.0
-72.69688761637208,0.7666250568449193,-20.0,0.0
-72.6968876163721,3.6000000000000014,-20.0,0.0
-73.39068329281675,0.6937956764446511,-20.0,0.0
-74.01856837999915,0.6278850871824089,-20.0,0.0
-74.58680438389923,0.5682360039000809,-20.0,0.0
-75.1010579674288,0.5142535835295723,-20.0,0.0
-75.56645746052307,0.46539949309426376,-20.0,0.0
